woman,district,age,urban,uso,ch
1,1,18.44,Y,0,Y
2,1,-5.5599,Y,0,N
3,1,1.44,Y,0,Y
4,1,8.44,Y,0,Y
5,1,-13.559,Y,0,N
6,1,-11.56,Y,0,N
7,1,18.44,Y,0,Y
8,1,-3.5599,Y,0,Y
9,1,-5.5599,Y,0,Y
10,1,1.44,Y,0,Y
11,1,-11.56,Y,1,N
12,1,-2.5599,Y,0,N
13,1,-4.5599,Y,0,Y
14,1,5.44,Y,0,Y
15,1,-0.5599,Y,0,Y
16,1,4.44,Y,1,Y
17,1,-5.5599,Y,0,N
18,1,-0.5599,Y,1,Y
19,1,-6.5599,Y,1,Y
20,1,-3.56,Y,0,Y
21,1,-4.5599,Y,0,N
22,1,-9.5599,Y,0,N
23,1,2.44,Y,0,Y
24,1,2.44,Y,1,Y
25,1,-4.5599,Y,1,Y
26,1,14.44,Y,0,Y
27,1,-6.5599,Y,1,N
28,1,-3.5599,Y,1,Y
29,1,-5.5599,Y,1,Y
30,1,-1.5599,Y,1,Y
31,1,-6.5599,Y,0,Y
32,1,-2.5599,Y,1,Y
33,1,-7.5599,Y,0,Y
34,1,9.44,Y,0,N
35,1,8.44,Y,0,Y
36,1,14.44,Y,0,Y
37,1,8.44,Y,1,Y
38,1,6.44,Y,0,Y
39,1,-3.56,Y,0,Y
40,1,-5.5599,Y,1,Y
41,1,14.44,Y,0,Y
42,1,2.44,Y,0,Y
43,1,-10.559,Y,0,Y
44,1,5.44,Y,0,Y
45,1,-7.5599,Y,1,Y
46,1,-4.5599,Y,1,Y
47,1,-1.5599,Y,1,Y
48,1,-11.559,Y,0,Y
49,1,1.44,Y,1,Y
50,1,11.44,Y,1,Y
51,1,-12.559,Y,0,N
52,1,-2.5599,Y,1,Y
53,1,-3.5599,Y,0,N
54,1,-4.5599,Y,1,N
55,1,-7.5599,Y,1,Y
56,1,8.44,Y,1,Y
57,1,-5.5599,Y,1,Y
58,1,7.44,Y,0,Y
59,1,-6.5599,Y,0,Y
60,1,-11.56,Y,0,N
61,1,15.44,Y,0,Y
62,1,-4.5599,Y,0,Y
63,1,-3.56,Y,0,Y
64,1,11.44,N,0,Y
65,1,-4.5599,N,0,Y
66,1,10.44,N,0,Y
67,1,4.44,N,0,Y
68,1,-3.5599,N,0,Y
69,1,-12.559,N,0,N
70,1,-7.5599,N,0,Y
71,1,-13.559,N,0,N
72,1,3.44,N,0,Y
73,1,19.44,N,0,Y
74,1,-7.5599,N,0,Y
75,1,1.44,N,0,Y
76,1,-4.5599,N,0,N
77,1,-7.5599,N,0,N
78,1,-1.5599,N,0,Y
79,1,2.44,N,0,Y
80,1,8.44,N,0,Y
81,1,8.44,N,0,Y
82,1,-9.5599,N,0,N
83,1,8.44,N,1,Y
84,1,7.44,N,0,Y
85,1,5.44,N,0,Y
86,1,2.44,N,1,Y
87,1,-4.5599,N,0,N
88,1,0.44,N,0,Y
89,1,11.44,N,0,Y
90,1,-3.5599,N,1,Y
91,1,5.44,N,0,N
92,1,-1.5599,N,0,Y
93,1,-7.5599,N,0,Y
94,1,5.44,N,1,Y
95,1,6.44,N,0,Y
96,1,0.44,N,1,Y
97,1,10.44,N,1,Y
98,1,7.44,N,1,Y
99,1,-11.559,N,0,Y
100,1,10.44,N,0,Y
101,1,2.44,N,0,Y
102,1,-3.5599,N,0,Y
103,1,0.44,N,0,Y
104,1,16.44,N,0,Y
105,1,4.44,N,0,Y
106,1,12.44,N,0,Y
107,1,8.44,N,0,Y
108,1,18.44,N,0,Y
109,1,-13.559,N,0,N
110,1,-11.559,N,0,Y
111,1,-2.56,N,0,N
112,1,-5.5599,N,0,N
113,1,3.44,N,0,Y
114,1,-1.5599,N,0,N
115,1,3.44,N,0,Y
116,1,-1.5599,N,0,Y
