"","PopF","indivF","CSF"
"AMf01_1","AM","AMf01",42.5142727556524
"AMf01_2","AM","AMf01",41.9788245377849
"AMf01_3","AM","AMf01",42.0684157432656
"AMf02_1","AM","AMf02",42.4069421713761
"AMf02_2","AM","AMf02",41.0625050243847
"AMf02_3","AM","AMf02",42.1814209167256
"AMf03_1","AM","AMf03",43.0825650155139
"AMf03_2","AM","AMf03",43.8775709791406
"AMf03_3","AM","AMf03",41.7418417880511
"AMf04_1","AM","AMf04",42.1583585738652
"AMf04_2","AM","AMf04",41.5298020478982
"AMf04_3","AM","AMf04",42.12564806794
"AMf05_1","AM","AMf05",41.8240180777104
"AMf05_2","AM","AMf05",43.1116458335592
"AMf05_3","AM","AMf05",41.794938636253
"AMf06_1","AM","AMf06",40.6474588496435
"AMf06_2","AM","AMf06",40.3113974447518
"AMf06_3","AM","AMf06",39.8302779960794
"AMf07_1","AM","AMf07",40.4954077893526
"AMf07_2","AM","AMf07",40.3815983241813
"AMf07_3","AM","AMf07",39.4007063951164
"AMf08_1","AM","AMf08",40.9952151240525
"AMf08_2","AM","AMf08",40.909789679605
"AMf08_3","AM","AMf08",42.5081626379044
"AMf09_1","AM","AMf09",44.5519463005069
"AMf09_2","AM","AMf09",41.6731325372722
"AMf09_3","AM","AMf09",45.3142621733191
"AMf10_1","AM","AMf10",41.707577011185
"AMf10_2","AM","AMf10",38.8242093485902
"AMf10_3","AM","AMf10",36.7031567726539
"AMf11_1","AM","AMf11",41.3954064540268
"AMf11_2","AM","AMf11",43.6947970107338
"AMf11_3","AM","AMf11",41.1222571462226
"AMf12_1","AM","AMf12",43.8032068445449
"AMf12_2","AM","AMf12",42.931154611265
"AMf12_3","AM","AMf12",44.7777325082916
"AMf13_1","AM","AMf13",46.8959383832823
"AMf13_2","AM","AMf13",46.2590725456116
"AMf13_3","AM","AMf13",46.3852676990992
"AMf14_1","AM","AMf14",43.0976644644235
"AMf14_2","AM","AMf14",42.0462109403519
"AMf14_3","AM","AMf14",44.298902117404
"AMf15_1","AM","AMf15",42.7351150016616
"AMf15_2","AM","AMf15",43.0485792077129
"AMf15_3","AM","AMf15",44.0426644776955
"AMf16_1","AM","AMf16",38.9928952389131
"AMf16_2","AM","AMf16",40.6252864131049
"AMf16_3","AM","AMf16",40.4198777479477
"AMf17_1","AM","AMf17",38.2150881680165
"AMf17_2","AM","AMf17",38.6602244504322
"AMf17_3","AM","AMf17",38.5624828095741
"AMf18_1","AM","AMf18",38.7895577273466
"AMf18_2","AM","AMf18",39.9189316674044
"AMf18_3","AM","AMf18",40.5951980772657
"AMf19_1","AM","AMf19",39.0204181115355
"AMf19_2","AM","AMf19",41.7034498642541
"AMf19_3","AM","AMf19",41.3933372183355
"AMf20_1","AM","AMf20",43.1386561779196
"AMf20_2","AM","AMf20",46.1566252675814
"AMf20_3","AM","AMf20",42.804341741319
"AMf21_1","AM","AMf21",44.5817796431033
"AMf21_2","AM","AMf21",41.4382397042813
"AMf21_3","AM","AMf21",42.1810304544458
"AMf22_1","AM","AMf22",44.3766532591832
"AMf22_2","AM","AMf22",43.0061418386201
"AMf22_3","AM","AMf22",45.8106216300365
"AMf23_1","AM","AMf23",47.5873870865884
"AMf23_2","AM","AMf23",44.2387841443373
"AMf23_3","AM","AMf23",42.1986110812482
"AMf24_1","AM","AMf24",40.8766338726535
"AMf24_2","AM","AMf24",40.7657608500309
"AMf24_3","AM","AMf24",33.4163775785494
"AMf25_1","AM","AMf25",36.8066693164971
"AMf25_2","AM","AMf25",35.5933921190139
"AMf25_3","AM","AMf25",32.808719888729
"AMf26_1","AM","AMf26",40.6964252842628
"AMf26_2","AM","AMf26",42.9642562066382
"AMf26_3","AM","AMf26",40.3382736445546
"AMf27_1","AM","AMf27",43.4203429812939
"AMf27_2","AM","AMf27",41.1028474803797
"AMf27_3","AM","AMf27",40.6904700451296
"AMf28_1","AM","AMf28",42.9513017471321
"AMf28_2","AM","AMf28",42.3368226696109
"AMf28_3","AM","AMf28",41.4693093599383
"AMf29_1","AM","AMf29",41.8095972052503
"AMf29_2","AM","AMf29",42.3281340803836
"AMf29_3","AM","AMf29",39.7498243375775
"AMf30_1","AM","AMf30",36.2731874660193
"AMf30_2","AM","AMf30",40.6181096165884
"AMf30_3","AM","AMf30",39.1380605003919
"COf01_1","CO","COf01",46.3676476507062
"COf01_2","CO","COf01",45.4250618533272
"COf01_3","CO","COf01",45.7748074192295
"COf02_1","CO","COf02",41.5170192426937
"COf02_2","CO","COf02",44.870698400405
"COf02_3","CO","COf02",44.5728528010276
"COf03_1","CO","COf03",39.041474104784
"COf03_2","CO","COf03",39.8963045745042
"COf03_3","CO","COf03",39.9712476109202
"COf04_1","CO","COf04",44.3795540252068
"COf04_2","CO","COf04",43.730178541272
"COf04_3","CO","COf04",40.1335652271608
"COf05_1","CO","COf05",47.928130890535
"COf05_2","CO","COf05",47.5171892795374
"COf05_3","CO","COf05",44.999298420056
"COf06_1","CO","COf06",37.9554747593782
"COf06_2","CO","COf06",35.6483145907813
"COf06_3","CO","COf06",36.1520200418107
"COf07_1","CO","COf07",42.2232667061417
"COf07_2","CO","COf07",38.8634653589105
"COf08_1","CO","COf08",40.0733750770563
"COf08_2","CO","COf08",39.0015821468212
"COf08_3","CO","COf08",37.9111430114421
"COf09_1","CO","COf09",39.7574071032601
"COf09_2","CO","COf09",38.3511268253023
"COf09_3","CO","COf09",39.3369759885012
"COf10_1","CO","COf10",41.7365461925332
"COf10_2","CO","COf10",41.2306962623577
"COf11_1","CO","COf11",43.1781642892282
"COf11_2","CO","COf11",44.5515793425855
"COf11_3","CO","COf11",44.1002227112442
"COf12_1","CO","COf12",40.8126949467205
"COf12_2","CO","COf12",39.9822079384537
"COf12_3","CO","COf12",39.9438460006948
"COf13_1","CO","COf13",45.6507079427385
"COf13_2","CO","COf13",41.2096205193665
"COf13_3","CO","COf13",44.2808823717817
"COf14_1","CO","COf14",42.3012529481328
"COf14_2","CO","COf14",43.1269329666974
"COf14_3","CO","COf14",40.6810070959913
"COf15_1","CO","COf15",40.3658478016743
"COf15_2","CO","COf15",42.5394009545439
"COf15_3","CO","COf15",36.8559605177813
"COf16_1","CO","COf16",44.5938571442069
"COf16_2","CO","COf16",44.2049650338703
"COf16_3","CO","COf16",43.5716913057638
"COf17_1","CO","COf17",46.0622262278581
"COf17_2","CO","COf17",48.8235139321436
"COf17_3","CO","COf17",47.4763997915717
"COf18_1","CO","COf18",41.6157170038676
"COf18_2","CO","COf18",40.7338617952176
"COf19_1","CO","COf19",42.4907804237436
"COf19_2","CO","COf19",48.4396144936838
"COf19_3","CO","COf19",42.4882577495611
"COf20_1","CO","COf20",41.8739270525764
"COf20_2","CO","COf20",40.4361815906137
"COf20_3","CO","COf20",39.4292925814077
"COf21_1","CO","COf21",42.5059918490124
"COf21_2","CO","COf21",40.2788488244675
"COf21_3","CO","COf21",42.1914355572141
"COf22_1","CO","COf22",48.5273322292644
"COf22_2","CO","COf22",48.3149366881043
"COf22_3","CO","COf22",49.2457156018999
"COf23_1","CO","COf23",44.8422569915316
"COf23_2","CO","COf23",46.393118537104
"COf23_3","CO","COf23",46.8331832122919
"COf24_1","CO","COf24",44.613218082699
"COf24_2","CO","COf24",46.9837548106356
"COf24_3","CO","COf24",45.1616667912634
"COf25_1","CO","COf25",45.326766511098
"COf25_2","CO","COf25",45.5145472045296
"COf25_3","CO","COf25",42.722896082804
"COf26_1","CO","COf26",43.0674764210214
"COf26_2","CO","COf26",45.4098219902134
"COf26_3","CO","COf26",45.4455768104027
"COf27_1","CO","COf27",43.591615985436
"COf27_2","CO","COf27",45.1262045514955
"COf27_3","CO","COf27",44.6006187116693
"COf28_1","CO","COf28",50.1765150351436
"COf28_2","CO","COf28",48.5280033745917
"COf28_3","CO","COf28",49.5988351850679
"COf29_1","CO","COf29",41.4133046560458
"COf29_2","CO","COf29",41.6173131241176
"COf29_3","CO","COf29",41.0847295288744
"COf30_1","CO","COf30",41.1775532040908
"COf30_2","CO","COf30",42.8048591813472
"COf30_3","CO","COf30",44.0176651607043
"LYf01_1","LY","LYf01",61.5396104972276
"LYf01_2","LY","LYf01",60.3664257372768
"LYf02_1","LY","LYf02",61.6416279415065
"LYf02_2","LY","LYf02",58.7566848792095
"LYf02_3","LY","LYf02",63.5847924526559
"LYf03_1","LY","LYf03",66.8179021405906
"LYf03_2","LY","LYf03",58.6241891216947
"LYf04_1","LY","LYf04",66.1453768262324
"LYf04_2","LY","LYf04",57.986538498794
"LYf04_3","LY","LYf04",61.3727501171252
"LYf05_1","LY","LYf05",63.8393660155192
"LYf05_2","LY","LYf05",59.5012797603023
"LYf05_3","LY","LYf05",66.5589232654863
"LYf06_1","LY","LYf06",54.8273762972844
"LYf06_2","LY","LYf06",56.2943354897301
"LYf06_3","LY","LYf06",53.1530601519801
"LYf07_1","LY","LYf07",59.1037851412419
"LYf07_2","LY","LYf07",59.5086743978537
"LYf07_3","LY","LYf07",62.8025207579214
"LYf08_1","LY","LYf08",65.5253769644712
"LYf08_2","LY","LYf08",60.9985445248297
"LYf08_3","LY","LYf08",69.369952209113
"LYf09_1","LY","LYf09",69.2471391667594
"LYf09_2","LY","LYf09",71.378159011665
"LYf09_3","LY","LYf09",63.8245957114334
"LYf10_1","LY","LYf10",58.4307866950044
"LYf10_2","LY","LYf10",58.668554640465
"LYf10_3","LY","LYf10",53.1504331537654
