CIRCUITO	LONG	LAT	Padron	PYV	HPNP	UPP_MASSA	UPP_GRABOIS	F.LIBER.AR	MAV	P.OBRERA	P.JOVEN	JPC_BULLRICH	JPC_LARRETA	LLA	FPF	MAS	MIJD	MLS	FITU_BREGMAN	FITU_SOLANO	UCD
1	-64.1844124481	-31.4169474015	15807	114	1734	790	512	7	16	3	24	2998	941	2360	6	16	11	22	224	58	0
2	-64.1795574478	-31.4082511158	6247	44	814	315	181	2	7	4	11	969	283	1135	7	9	5	12	80	27	0
3	-64.2005879138	-31.4063453456	20228	82	2628	1097	903	15	20	7	26	3688	1102	3308	17	17	16	30	353	98	0
4	-64.1785761716	-31.4324288499	21601	119	2148	1166	825	8	9	11	20	4354	1548	3276	5	16	9	22	307	57	0
5	-64.1301172163	-31.4241680048	13471	45	2703	426	188	24	10	12	13	1719	486	3225	15	14	4	25	115	146	0
6	-64.1522511055	-31.4078130663	5628	23	1138	185	131	6	2	5	10	698	235	1189	4	12	5	6	56	54	0
7	-64.199900679	-31.3266807203	129	1	23	1	0	0	0	0	0	16	1	26	0	0	0	0	0	1	0
8	-64.0677533211	-31.3804935602	718	5	224	31	8	2	0	0	1	37	14	149	0	0	0	3	0	7	0
9	-64.2219826346	-31.389836137	5708	20	781	232	202	2	9	1	5	1337	408	932	1	10	3	3	62	23	0
10	-64.2051137099	-31.4347990798	18157	105	3564	741	475	10	17	7	22	2260	615	3331	11	22	10	159	175	116	0
11	-64.2696431998	-31.4294848555	4997	14	1386	112	31	4	6	7	6	281	101	1182	10	6	0	5	24	29	0
12	-64.1005439233	-31.4573194352	10212	40	2421	353	54	11	17	3	13	785	285	2578	4	16	10	14	54	75	0
13	-64.156876387	-31.3912734344	8824	50	1783	318	142	2	5	2	5	1163	318	2178	4	8	6	3	46	28	0
14	-64.2724005399	-31.351371757	7367	31	762	281	208	3	4	2	7	2028	588	1330	0	8	2	6	55	17	0
0004A	-64.1906463362	-31.4558228658	18060	114	3330	673	497	16	18	13	29	2904	855	4116	19	34	16	26	205	64	0
0004B	-64.1793485275	-31.4549981704	15322	66	2351	633	453	5	13	9	20	3468	953	2784	8	21	1	16	147	38	0
0004C	-64.1972749996	-31.4781889279	5171	25	1181	170	140	5	5	3	6	893	254	1194	3	5	5	7	41	60	0
0004D	-64.1809221569	-31.4929024167	3438	9	479	68	114	2	5	2	2	987	312	809	2	1	1	0	37	6	0
0004E	-64.183571	-31.506514	3452	13	822	59	22	3	5	10	13	83	31	958	7	3	0	35	17	74	0
0004F	-64.205329	-31.501485	3673	18	1119	92	86	7	5	12	9	103	37	750	5	3	0	5	13	91	0
0005A	-64.1050006495	-31.424770181	5473	20	1657	258	84	5	1	7	6	303	93	1298	3	7	1	3	34	80	0
0005B	-64.1177189189	-31.4453147582	1811	7	415	76	36	3	1	0	2	302	64	433	1	4	0	2	10	6	0
0005C	-64.1274334108	-31.4323475884	18017	68	3937	522	233	19	17	14	26	2332	583	4556	14	22	7	10	166	114	0
0005D	-64.1344172816	-31.4116885958	12248	77	3466	283	90	16	14	8	24	588	270	2225	11	19	4	35	151	402	0
0005E	-64.0922482336	-31.4404204454	4211	18	1182	108	21	5	6	3	5	262	78	1110	7	2	4	6	19	65	0
0005F	-64.0937365161	-31.414758528	5056	12	1577	131	18	8	4	8	8	164	66	986	3	2	0	31	17	91	0
0005G	-64.1552448134	-31.4222822842	15037	61	2734	560	278	8	19	13	27	2181	526	3430	3	41	11	11	149	100	0
0005H	-64.1066385411	-31.4325167182	2077	6	698	40	8	12	4	2	3	59	24	393	3	3	0	2	29	76	0
0005I	-64.0926526831	-31.4442940345	5337	12	1456	141	50	7	4	7	8	290	106	1075	6	9	3	10	47	142	0
0006A	-64.139829	-31.404032	372	0	100	11	2	1	0	0	1	27	3	46	2	0	0	7	4	11	0
0006B	-64.1020973683	-31.4024559239	244	2	86	9	4	0	0	0	0	4	7	39	2	0	0	1	1	5	0
0006C	-64.1682451256	-31.4107956838	12461	74	1602	604	498	8	7	5	18	2780	781	2132	9	15	2	8	190	38	0
0006D	-64.1628046958	-31.4195902956	6698	42	923	403	244	2	4	2	10	1448	383	1106	2	5	12	5	108	28	0
0006E	-64.0728603845	-31.402430155	2820	9	1083	52	40	6	4	2	8	76	25	439	6	4	0	26	14	93	0
0006F	-64.148006957	-31.4154849514	8144	38	2203	219	128	13	6	7	5	734	176	1709	20	14	2	20	59	90	0
0007A	-64.1779422023	-31.3180976972	6928	24	1866	123	29	16	5	8	9	428	120	1540	11	8	3	12	30	50	1
0007B	-64.1838777151	-31.3847109528	22083	116	3741	1051	695	16	16	13	34	3551	1107	4332	14	26	11	35	300	118	0
0007C	-64.1959820858	-31.347130891	16	0	1	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0
0007D	-64.187701672	-31.3962983538	9968	42	1286	510	398	2	4	3	20	2043	573	1620	3	13	8	9	143	53	0
0007E	-64.1957214098	-31.3659185867	17257	72	3471	711	368	11	23	19	22	2375	671	3872	12	40	7	27	169	102	0
0007F	-64.1793632491	-31.3450552647	8066	26	2013	238	83	6	10	6	10	934	246	1833	7	7	1	10	60	74	0
0007G	-64.1830849988	-31.3686624747	12871	56	2968	422	162	9	13	6	17	1348	459	2853	9	12	9	37	103	56	1
0008A	-64.10524039	-31.3893908418	4298	15	1059	126	36	4	6	3	6	363	148	1077	4	4	0	7	31	46	0
0008B	-64.1606820966	-31.3997061205	19688	103	3668	700	431	12	16	24	26	2554	727	4171	11	15	8	30	139	144	0
0008C	-64.1348451525	-31.393490639	8271	30	1793	252	74	4	8	5	12	1007	313	2180	2	9	2	7	58	36	0
0009A	-64.2142616113	-31.3699868622	4751	21	785	170	105	1	7	2	9	947	249	958	3	2	0	4	51	18	0
0009B	-64.2162988402	-31.379406297	7574	37	1129	308	208	7	8	3	6	1621	478	1439	6	32	0	3	85	23	0
0009C	-64.1970598144	-31.3781790046	13494	59	2872	545	230	9	15	5	27	1785	483	2976	10	11	4	17	118	53	0
0009D	-64.2135053716	-31.3637806472	9287	43	1399	474	208	3	10	8	14	2140	563	1990	2	7	2	4	93	33	0
0009E	-64.1984852759	-31.4005651581	5039	18	726	239	223	3	5	2	10	815	217	946	5	5	3	8	86	23	0
0009F	-64.1985906329	-31.3900263797	14845	63	2422	588	362	15	17	10	13	2377	670	3113	6	16	4	13	172	60	0
0009G	-64.2120195042	-31.3873291495	5526	27	803	257	179	5	2	0	4	1175	308	1064	6	3	1	2	59	26	0
0010A	-64.2500489826	-31.5024117773	5151	17	1395	135	49	2	6	3	3	387	137	1368	7	9	3	15	42	40	32
0010B	-64.2175625884	-31.4517204042	11763	65	2179	504	332	6	6	6	17	2111	724	2367	10	17	13	12	154	45	0
0010C	-64.2182001265	-31.4953476328	7500	59	2089	204	41	12	6	6	10	386	146	1855	10	9	3	79	59	85	0
0010D	-64.243905397	-31.4634619889	4333	17	1094	122	59	6	7	5	6	471	178	1065	2	5	1	5	24	12	0
0010E	-64.2720940645	-31.4737630803	15123	85	3624	401	174	15	15	11	26	1352	377	3678	15	18	16	15	105	116	0
0010F	-64.2325353003	-31.4469950034	13143	62	2624	473	297	11	16	12	14	1921	521	3204	6	9	7	21	168	99	0
0010G	-64.2027906241	-31.4224633581	20839	115	3018	1114	771	9	12	8	30	2938	964	3644	8	37	15	23	313	108	0
0010H	-64.230010631	-31.447321978	12270	55	2134	594	342	5	10	6	19	2248	555	2699	5	27	13	13	171	76	0
0010I	-64.2248795539	-31.4573736356	11530	60	2239	499	328	4	8	13	15	1904	618	2616	4	12	4	9	136	53	0
0010J	-64.2348256465	-31.4745859472	12382	59	2930	368	146	9	19	7	24	1256	330	3336	10	3	7	25	105	70	4
0010K	-64.2829143964	-31.4897048181	7385	36	1872	238	101	20	5	2	4	658	175	2051	3	11	6	4	44	42	0
0010L	-64.2144051576	-31.4757731601	27263	122	7457	640	180	32	30	27	29	1357	514	6748	41	26	11	70	123	182	0
0010M	-64.2294092184	-31.4862703564	3222	4	996	49	14	2	6	1	4	88	42	786	3	2	0	9	39	116	0
0011A	-64.2146436369	-31.3995474173	23144	109	4206	901	651	16	14	15	35	2981	781	4844	15	30	20	23	234	147	0
